name,prompt,negative_prompt
Dramatic Velvet Luxe,"Dramatic Velvet Luxe, designing {prompt} with sumptuous velvet fabric, emphasizing a dramatic silhouette, rich textures, and the opulent allure of velvet slip dresses","dramatic velvet luxe with poor representation of sumptuous velvet design, lack of emphasis on dramatic silhouettes, unimpressive capture of rich textures, uninspired velvet slip dress design"
Ethereal Chiffon Whimsy,"Ethereal Chiffon Whimsy, designing {prompt} with light chiffon fabric, emphasizing an ethereal silhouette, delicate details, and a whimsical touch in chiffon slip dresses","ethereal chiffon whimsy with poor representation of light chiffon design, lack of emphasis on ethereal silhouettes, unimpressive capture of delicate details, uninspired chiffon slip dress design"
Vintage-Inspired Glamour,"Vintage-Inspired Glamour, designing {prompt} with retro-inspired details, emphasizing a nostalgic silhouette, classic patterns, and the timeless appeal of vintage-inspired slip dresses","vintage-inspired glamour with poor representation of retro design, lack of emphasis on nostalgic silhouettes, unimpressive capture of classic patterns, uninspired vintage slip dress design"
Modern Minimalist Charm,"Modern Minimalist Charm, designing {prompt} with a minimalist approach, emphasizing clean silhouettes, subtle textures, and a contemporary charm in slip dress fashion","modern minimalist charm with poor representation of minimalist design, lack of emphasis on clean silhouettes, unimpressive capture of subtle textures, uninspired minimalist slip dress design"
Bold Animal Print Glam,"Bold Animal Print Glam, designing {prompt} with eye-catching animal prints, emphasizing a bold silhouette, vibrant patterns, and a playful approach to animal print slip dresses","bold animal print glam with poor representation of eye-catching design, lack of emphasis on bold silhouettes, unimpressive capture of vibrant patterns, uninspired animal print slip dress design"
Floral Fantasy Elegance,"Floral Fantasy Elegance, designing {prompt} with enchanting floral prints, emphasizing a feminine silhouette, intricate detailing, and a romantic touch in floral slip dresses","floral fantasy elegance with poor representation of enchanting floral design, lack of emphasis on feminine silhouettes, unimpressive capture of intricate detailing, uninspired floral slip dress design"
Rustic Boho Vibes,"Rustic Boho Vibes, designing {prompt} with a rustic bohemian aesthetic, emphasizing earthy tones, relaxed silhouettes, and natural textures in boho slip dress fashion","rustic boho vibes with poor representation of rustic design, lack of emphasis on earthy tones, unimpressive capture of relaxed silhouettes, uninspired boho slip dress design"
Urban Street Style,"Urban Street Style, designing {prompt} for a trendy streetwear look, emphasizing edgy details, modern silhouettes, and a cool approach to street style slip dresses","urban street style with poor representation of trendy design, lack of emphasis on edgy details, unimpressive capture of modern silhouettes, uninspired street style slip dress design"
Chic Sequin Sparkle,"Chic Sequin Sparkle, designing {prompt} with chic sequin embellishments, emphasizing a touch of sparkle, sleek silhouettes, and a glamorous approach to sequin slip dresses","chic sequin sparkle with poor representation of chic design, lack of emphasis on sleek silhouettes, unimpressive capture of sparkle, uninspired sequin slip dress design"
Edgy Leather Accents,"Edgy Leather Accents, designing {prompt} with edgy leather details, emphasizing modern silhouettes, bold textures, and a rebellious touch in leather slip dresses","edgy leather accents with poor representation of edgy design, lack of emphasis on modern silhouettes, unimpressive capture of bold textures, uninspired leather slip dress design"
Romantic Ruffle Elegance,"Romantic Ruffle Elegance, designing {prompt} with romantic ruffle details, emphasizing a feminine silhouette, playful textures, and a whimsical touch in ruffled slip dresses","romantic ruffle elegance with poor representation of romantic design, lack of emphasis on feminine silhouettes, unimpressive capture of playful textures, uninspired ruffled slip dress design"
Casual Denim Cool,"Casual Denim Cool, designing {prompt} with cool denim fabric, emphasizing a casual silhouette, versatile details, and a laid-back approach to denim slip dresses","casual denim cool with poor representation of cool denim design, lack of emphasis on casual silhouettes, unimpressive capture of versatile details, uninspired denim slip dress design"
Chic A-Line Sophistication,"Chic A-Line Sophistication, designing {prompt} with a sophisticated A-line silhouette, emphasizing clean lines, refined details, and a timeless elegance in skirt dress fashion","chic A-line sophistication with poor representation of sophisticated design, lack of emphasis on clean lines, unimpressive capture of refined details, uninspired A-line skirt dress design"
Playful Pleated Perfection,"Playful Pleated Perfection, designing {prompt} with playful pleats, emphasizing a flirty silhouette, dynamic textures, and a youthful charm in pleated skirt dress fashion","playful pleated perfection with poor representation of playful design, lack of emphasis on flirty silhouettes, unimpressive capture of dynamic textures, uninspired pleated skirt dress design"
Bohemian Wrap Vibes,"Bohemian Wrap Vibes, designing {prompt} with a boho-chic wrap silhouette, emphasizing relaxed details, earthy tones, and natural textures in wrap skirt dress fashion","bohemian wrap vibes with poor representation of boho-chic design, lack of emphasis on relaxed details, unimpressive capture of earthy tones, uninspired wrap skirt dress design"
Floral Midi Elegance,"Floral Midi Elegance, designing {prompt} with enchanting floral patterns in a midi length, emphasizing a feminine silhouette, intricate detailing, and a romantic touch in floral midi skirt dress fashion","floral midi elegance with poor representation of enchanting floral design, lack of emphasis on feminine silhouettes, unimpressive capture of intricate detailing, uninspired floral midi skirt dress design"
Bold Asymmetry Statements,"Bold Asymmetry Statements, designing {prompt} with striking asymmetrical details, emphasizing modern silhouettes, unconventional cuts, and a fashion-forward approach in asymmetrical skirt dress fashion","bold asymmetry statements with poor representation of striking design, lack of emphasis on modern silhouettes, unimpressive capture of unconventional cuts, uninspired asymmetrical skirt dress design"
Sleek Pencil Skirt Chic,"Sleek Pencil Skirt Chic, designing {prompt} with a sleek pencil skirt silhouette, emphasizing a tailored look, clean lines, and a sophisticated approach in pencil skirt dress fashion","sleek pencil skirt chic with poor representation of sleek design, lack of emphasis on tailored looks, unimpressive capture of clean lines, uninspired pencil skirt dress design"
Denim Skirt Casual Cool,"Denim Skirt Casual Cool, designing {prompt} with cool denim fabric in a skirt dress style, emphasizing a casual silhouette, versatile details, and a laid-back approach in denim skirt dress fashion","denim skirt casual cool with poor representation of cool denim design, lack of emphasis on casual silhouettes, unimpressive capture of versatile details, uninspired denim skirt dress design"
Whimsical Tulle Fairytale,"Whimsical Tulle Fairytale, designing {prompt} with whimsical tulle layers, emphasizing a fairytale-inspired silhouette, ethereal textures, and a magical touch in tulle skirt dress fashion","whimsical tulle fairytale with poor representation of whimsical design, lack of emphasis on fairytale silhouettes, unimpressive capture of ethereal textures, uninspired tulle skirt dress design"
Structured Midi Elegance,"Structured Midi Elegance, designing {prompt} with a structured midi-length silhouette, emphasizing clean lines, tailored details, and a polished approach in structured midi skirt dress fashion","structured midi elegance with poor representation of structured design, lack of emphasis on clean lines, unimpressive capture of tailored details, uninspired structured midi skirt dress design"
Printed Wrap Silhouette,"Printed Wrap Silhouette, designing {prompt} with a printed wrap-style skirt dress, emphasizing a versatile silhouette, vibrant patterns, and a playful approach in printed wrap skirt dress fashion","printed wrap silhouette with poor representation of printed design, lack of emphasis on versatile silhouettes, unimpressive capture of vibrant patterns, uninspired printed wrap skirt dress design"
Elegant Wrap Maxi Glam,"Elegant Wrap Maxi Glam, designing {prompt} with an elegant wrap maxi silhouette, emphasizing flowy lines, refined details, and a touch of glamour in wrap maxi dress fashion","elegant wrap maxi glam with poor representation of elegant design, lack of emphasis on flowy lines, unimpressive capture of refined details, uninspired wrap maxi dress design"
Playful Wrap Mini Delight,"Playful Wrap Mini Delight, designing {prompt} with a playful wrap mini silhouette, emphasizing a flirty look, dynamic details, and a youthful charm in wrap mini dress fashion","playful wrap mini delight with poor representation of playful design, lack of emphasis on flirty looks, unimpressive capture of dynamic details, uninspired wrap mini dress design"
Bohemian Wrap Vibes,"Bohemian Wrap Vibes, designing {prompt} with a boho-chic wrap silhouette, emphasizing relaxed details, earthy tones, and natural textures in bohemian wrap dress fashion","bohemian wrap vibes with poor representation of boho-chic design, lack of emphasis on relaxed details, unimpressive capture of earthy tones, uninspired bohemian wrap dress design"
Floral Midi Elegance,"Floral Midi Elegance, designing {prompt} with enchanting floral patterns in a midi-length wrap silhouette, emphasizing a feminine look, intricate detailing, and a romantic touch in floral midi wrap dress fashion","floral midi elegance with poor representation of enchanting floral design, lack of emphasis on feminine looks, unimpressive capture of intricate detailing, uninspired floral midi wrap dress design"
Bold Asymmetry Statements,"Bold Asymmetry Statements, designing {prompt} with striking asymmetrical details in a wrap dress, emphasizing modern silhouettes, unconventional cuts, and a fashion-forward approach in asymmetrical wrap dress fashion","bold asymmetry statements with poor representation of striking design, lack of emphasis on modern silhouettes, unimpressive capture of unconventional cuts, uninspired asymmetrical wrap dress design"
Sleek Pencil Wrap Chic,"Sleek Pencil Wrap Chic, designing {prompt} with a sleek pencil wrap silhouette, emphasizing a tailored look, clean lines, and a sophisticated approach in pencil wrap dress fashion","sleek pencil wrap chic with poor representation of sleek design, lack of emphasis on tailored looks, unimpressive capture of clean lines, uninspired pencil wrap dress design"
Denim Wrap Casual Cool,"Denim Wrap Casual Cool, designing {prompt} with cool denim fabric in a wrap dress style, emphasizing a casual look, versatile details, and a laid-back approach in denim wrap dress fashion","denim wrap casual cool with poor representation of cool denim design, lack of emphasis on casual looks, unimpressive capture of versatile details, uninspired denim wrap dress design"
Whimsical Tulle Fairytale,"Whimsical Tulle Fairytale, designing {prompt} with whimsical tulle layers in a wrap dress, emphasizing a fairytale-inspired look, ethereal textures, and a magical touch in tulle wrap dress fashion","whimsical tulle fairytale with poor representation of whimsical design, lack of emphasis on fairytale looks, unimpressive capture of ethereal textures, uninspired tulle wrap dress design"
Structured Midi Elegance,"Structured Midi Elegance, designing {prompt} with a structured midi-length wrap silhouette, emphasizing clean lines, tailored details, and a polished approach in structured midi wrap dress fashion","structured midi elegance with poor representation of structured design, lack of emphasis on clean lines, unimpressive capture of tailored details, uninspired structured midi wrap dress design"
Printed Wrap Silhouette,"Printed Wrap Silhouette, designing {prompt} with a printed wrap-style dress, emphasizing a versatile silhouette, vibrant patterns, and a playful approach in printed wrap dress fashion","printed wrap silhouette with poor representation of printed design, lack of emphasis on versatile looks, unimpressive capture of vibrant patterns, uninspired printed wrap dress design"
Modern Wrap Jumpsuit,"Modern Wrap Jumpsuit, designing {prompt} with a modern wrap jumpsuit silhouette, emphasizing contemporary details, sleek lines, and a fashion-forward approach in modern wrap jumpsuit fashion","modern wrap jumpsuit with poor representation of modern design, lack of emphasis on contemporary looks, unimpressive capture of sleek lines, uninspired wrap jumpsuit design"
Chic Wrap Romper,"Chic Wrap Romper, designing {prompt} with a chic wrap romper silhouette, emphasizing a stylish look, playful details, and a trendy approach in chic wrap romper fashion","chic wrap romper with poor representation of chic design, lack of emphasis on stylish looks, unimpressive capture of playful details, uninspired wrap romper design"
Casual Wrap Shirt Dress,"Casual Wrap Shirt Dress, designing {prompt} with a casual wrap shirt dress silhouette, emphasizing relaxed details, versatile fabrics, and a laid-back approach in casual wrap shirt dress fashion","casual wrap shirt dress with poor representation of casual design, lack of emphasis on relaxed looks, unimpressive capture of versatile fabrics, uninspired wrap shirt dress design"
Retro Wrap Swing Dress,"Retro Wrap Swing Dress, designing {prompt} with a retro-inspired wrap swing dress silhouette, emphasizing nostalgic details, vintage patterns, and a timeless appeal in retro wrap swing dress fashion","retro wrap swing dress with poor representation of retro design, lack of emphasis on nostalgic looks, unimpressive capture of vintage patterns, uninspired wrap swing dress design"
Charming Wrap Tea Dress,"Charming Wrap Tea Dress, designing {prompt} with a charming wrap tea dress silhouette, emphasizing a feminine look, delicate details, and a classic appeal in charming wrap tea dress fashion","charming wrap tea dress with poor representation of charming design, lack of emphasis on feminine looks, unimpressive capture of delicate details, uninspired wrap tea dress design"
Bold Ruffle Wrap,"Bold Ruffle Wrap, designing {prompt} with a bold ruffle wrap silhouette, emphasizing a dramatic look, playful textures, and a fashion-forward approach in bold ruffle wrap dress fashion","bold ruffle wrap with poor representation of bold design, lack of emphasis on dramatic looks, unimpressive capture of playful textures, uninspired ruffle wrap dress design"
Enchanting Ballgown Fairytale,"Enchanting Ballgown Fairytale, designing {prompt} with an enchanting ballgown silhouette, emphasizing a fairytale-inspired look, intricate detailing, and a magical touch in ballgown dress fashion","enchanting ballgown fairytale with poor representation of enchanting design, lack of emphasis on fairytale looks, unimpressive capture of intricate detailing, uninspired ballgown dress design"
Elegant Princess Elegance,"Elegant Princess Elegance, designing {prompt} with an elegant princess ballgown silhouette, emphasizing a regal look, refined details, and a timeless sophistication in princess ballgown dress fashion","elegant princess elegance with poor representation of elegant design, lack of emphasis on regal looks, unimpressive capture of refined details, uninspired princess ballgown dress design"
Bold Modern Ballgown,"Bold Modern Ballgown, designing {prompt} with a bold and modern ballgown silhouette, emphasizing contemporary details, sleek lines, and a fashion-forward approach in modern ballgown dress fashion","bold modern ballgown with poor representation of bold design, lack of emphasis on contemporary looks, unimpressive capture of sleek lines, uninspired modern ballgown dress design"
Whimsical Lace Fantasy,"Whimsical Lace Fantasy, designing {prompt} with whimsical lace details in a ballgown silhouette, emphasizing a romantic look, ethereal textures, and a magical touch in lace ballgown dress fashion","whimsical lace fantasy with poor representation of whimsical design, lack of emphasis on romantic looks, unimpressive capture of ethereal textures, uninspired lace ballgown dress design"
Glamorous Ballgown Affair,"Glamorous Ballgown Affair, designing {prompt} with a glamorous ballgown silhouette, emphasizing a red-carpet-worthy look, bold details, and a touch of Hollywood glamour in ballgown dress fashion","glamorous ballgown affair with poor representation of glamorous design, lack of emphasis on red-carpet looks, unimpressive capture of bold details, uninspired ballgown dress design"
Vintage-Inspired Ballroom Elegance,"Vintage-Inspired Ballroom Elegance, designing {prompt} with retro-inspired details in a ballgown silhouette, emphasizing nostalgic looks, vintage patterns, and a timeless appeal in vintage ballgown dress fashion","vintage-inspired ballroom elegance with poor representation of vintage design, lack of emphasis on nostalgic looks, unimpressive capture of vintage patterns, uninspired vintage ballgown dress design"
Chic Minimalist Ballgown,"Chic Minimalist Ballgown, designing {prompt} with a chic and minimalist ballgown silhouette, emphasizing clean lines, subtle details, and a contemporary charm in minimalist ballgown dress fashion","chic minimalist ballgown with poor representation of chic design, lack of emphasis on clean looks, unimpressive capture of subtle details, uninspired minimalist ballgown dress design"
Regal Velvet Ballgown,"Regal Velvet Ballgown, designing {prompt} with regal velvet fabric in a ballgown silhouette, emphasizing a luxurious look, rich textures, and the opulent allure of velvet ballgown dresses","regal velvet ballgown with poor representation of regal design, lack of emphasis on luxurious looks, unimpressive capture of rich textures, uninspired velvet ballgown dress design"
Dramatic High-Low Ballgown,"Dramatic High-Low Ballgown, designing {prompt} with a dramatic high-low silhouette, emphasizing modern details, playful asymmetry, and a fashion-forward approach in high-low ballgown dress fashion","dramatic high-low ballgown with poor representation of dramatic design, lack of emphasis on modern looks, unimpressive capture of playful asymmetry, uninspired high-low ballgown dress design"
Timeless Satin Ballgown,"Timeless Satin Ballgown, designing {prompt} with timeless satin fabric in a ballgown silhouette, emphasizing a classic look, clean lines, and a sophisticated elegance in satin ballgown dress fashion","timeless satin ballgown with poor representation of timeless design, lack of emphasis on classic looks, unimpressive capture of clean lines, uninspired satin ballgown dress design"
Royal Blue Elegance,"Royal Blue Elegance, designing {prompt} with a royal blue ballgown silhouette, emphasizing a majestic look, vibrant color, and a regal appeal in royal blue ballgown dresses","royal blue elegance with poor representation of royal blue design, lack of emphasis on majestic looks, unimpressive capture of vibrant color, uninspired royal blue ballgown dress design"
Fairytale Floral Fantasy,"Fairytale Floral Fantasy, designing {prompt} with fairytale-inspired floral patterns in a ballgown silhouette, emphasizing a whimsical look, intricate detailing, and a touch of magic in floral ballgown dress fashion","fairytale floral fantasy with poor representation of fairytale design, lack of emphasis on whimsical looks, unimpressive capture of intricate detailing, uninspired floral ballgown dress design"
Charming Off-Shoulder Ballgown,"Charming Off-Shoulder Ballgown, designing {prompt} with an off-shoulder neckline in a ballgown silhouette, emphasizing a romantic look, delicate details, and a timeless charm in off-shoulder ballgown dress fashion","charming off-shoulder ballgown with poor representation of charming design, lack of emphasis on romantic looks, unimpressive capture of delicate details, uninspired off-shoulder ballgown dress design"
Bold Sequin Sparkle,"Bold Sequin Sparkle, designing {prompt} with bold sequin embellishments in a ballgown silhouette, emphasizing a dazzling look, chic details, and a red-carpet-worthy approach in sequin ballgown dress fashion","bold sequin sparkle with poor representation of bold design, lack of emphasis on dazzling looks, unimpressive capture of chic details, uninspired sequin ballgown dress design"
Modern High-Neck Ballgown,"Modern High-Neck Ballgown, designing {prompt} with a modern high-neck neckline in a ballgown silhouette, emphasizing a contemporary look, sleek lines, and a fashion-forward approach in high-neck ballgown dress fashion","modern high-neck ballgown with poor representation of modern design, lack of emphasis on contemporary looks, unimpressive capture of sleek lines, uninspired high-neck ballgown dress design"
Chic Bow Detail Ballgown,"Chic Bow Detail Ballgown, designing {prompt} with chic bow details in a ballgown silhouette, emphasizing a stylish look, playful accents, and a trendy charm in bow detail ballgown dress fashion","chic bow detail ballgown with poor representation of chic design, lack of emphasis on stylish looks, unimpressive capture of playful accents, uninspired bow detail ballgown dress design"
Regal Velvet Lehenga,"Regal Velvet Lehenga, designing {prompt} with regal velvet fabric, emphasizing a luxurious look, rich textures, and the opulent allure of velvet lehenga dresses","regal velvet lehenga with poor representation of regal design, lack of emphasis on luxurious looks, unimpressive capture of rich textures, uninspired velvet lehenga dress design"
Elegant Bridal Lehenga,"Elegant Bridal Lehenga, designing {prompt} for a bridal ensemble, emphasizing intricate embroidery, a regal silhouette, and a touch of traditional elegance in bridal lehenga dress fashion","elegant bridal lehenga with poor representation of bridal design, lack of emphasis on intricate embroidery, unimpressive capture of regal silhouettes, uninspired bridal lehenga dress design"
Floral Fantasy Lehenga,"Floral Fantasy Lehenga, designing {prompt} with enchanting floral patterns, emphasizing a whimsical look, intricate detailing, and a touch of nature-inspired beauty in floral lehenga dress fashion","floral fantasy lehenga with poor representation of floral design, lack of emphasis on whimsical looks, unimpressive capture of intricate detailing, uninspired floral lehenga dress design"
Modern Fusion Lehenga,"Modern Fusion Lehenga, designing {prompt} with a fusion of traditional and modern elements, emphasizing contemporary silhouettes, bold details, and a fashion-forward approach in modern fusion lehenga dress fashion","modern fusion lehenga with poor representation of modern fusion design, lack of emphasis on contemporary silhouettes, unimpressive capture of bold details, uninspired modern fusion lehenga dress design"
Chic Crop Top Lehenga,"Chic Crop Top Lehenga, designing {prompt} with a chic crop top and lehenga skirt ensemble, emphasizing a stylish look, playful details, and a trendy charm in crop top lehenga dress fashion","chic crop top lehenga with poor representation of chic design, lack of emphasis on stylish looks, unimpressive capture of playful details, uninspired crop top lehenga dress design"
Rustic Boho Lehenga,"Rustic Boho Lehenga, designing {prompt} with a rustic bohemian aesthetic, emphasizing earthy tones, relaxed silhouettes, and natural textures in boho lehenga dress fashion","rustic boho lehenga with poor representation of rustic design, lack of emphasis on earthy tones, unimpressive capture of relaxed silhouettes, uninspired boho lehenga dress design"
Bold Sequin Glam,"Bold Sequin Glam, designing {prompt} with bold sequin embellishments, emphasizing a dazzling look, chic details, and a red-carpet-worthy approach in sequin lehenga dress fashion","bold sequin glam with poor representation of bold design, lack of emphasis on dazzling looks, unimpressive capture of chic details, uninspired sequin lehenga dress design"
Charming Pastel Lehenga,"Charming Pastel Lehenga, designing {prompt} with soft pastel hues, emphasizing a dreamy look, delicate details, and a whimsical touch in pastel lehenga dress fashion","charming pastel lehenga with poor representation of pastel design, lack of emphasis on dreamy looks, unimpressive capture of delicate details, uninspired pastel lehenga dress design"
Dramatic High-Low Lehenga,"Dramatic High-Low Lehenga, designing {prompt} with a dramatic high-low silhouette, emphasizing modern details, playful asymmetry, and a fashion-forward approach in high-low lehenga dress fashion","dramatic high-low lehenga with poor representation of dramatic design, lack of emphasis on modern looks, unimpressive capture of playful asymmetry, uninspired high-low lehenga dress design"
Ethereal Chiffon Lehenga,"Ethereal Chiffon Lehenga, designing {prompt} with light chiffon fabric, emphasizing an ethereal look, delicate details, and a whimsical touch in chiffon lehenga dress fashion","ethereal chiffon lehenga with poor representation of chiffon design, lack of emphasis on ethereal looks, unimpressive capture of delicate details, uninspired chiffon lehenga dress design"
Traditional Red Bridal Lehenga,"Traditional Red Bridal Lehenga, designing {prompt} for a classic bridal ensemble, emphasizing traditional red color, intricate embroidery, and a regal silhouette in bridal lehenga dress fashion","traditional red bridal lehenga with poor representation of traditional design, lack of emphasis on red color, unimpressive capture of intricate embroidery, uninspired traditional red bridal lehenga dress design"
Modern Silk Lehenga,"Modern Silk Lehenga, designing {prompt} with modern silk fabric, emphasizing a contemporary look, sleek silhouettes, and a luxurious touch in silk lehenga dress fashion","modern silk lehenga with poor representation of modern silk design, lack of emphasis on contemporary looks, unimpressive capture of sleek silhouettes, uninspired modern silk lehenga dress design"
Chic Geometric Pattern Lehenga,"Chic Geometric Pattern Lehenga, designing {prompt} with chic geometric patterns, emphasizing a modern look, bold details, and a fashion-forward approach in geometric pattern lehenga dress fashion","chic geometric pattern lehenga with poor representation of chic design, lack of emphasis on modern looks, unimpressive capture of bold details, uninspired geometric pattern lehenga dress design"
Timeless Gold Lehenga,"Timeless Gold Lehenga, designing {prompt} with timeless gold embellishments, emphasizing a classic look, regal details, and a touch of opulence in gold lehenga dress fashion","timeless gold lehenga with poor representation of timeless gold design, lack of emphasis on classic looks, unimpressive capture of regal details, uninspired gold lehenga dress design"
Bold Peacock Motif Lehenga,"Bold Peacock Motif Lehenga, designing {prompt} with bold peacock motifs, emphasizing a vibrant look, intricate detailing, and a touch of traditional charm in peacock motif lehenga dress fashion","bold peacock motif lehenga with poor representation of bold design, lack of emphasis on vibrant looks, unimpressive capture of intricate detailing, uninspired peacock motif lehenga dress design"
Elegant Anarkali Grace,"Elegant Anarkali Grace, designing {prompt} with an elegant Anarkali silhouette, emphasizing intricate embroidery, a regal look, and a touch of traditional elegance in Anarkali salwar kameez fashion","elegant Anarkali grace with poor representation of elegant design, lack of emphasis on intricate embroidery, unimpressive capture of regal looks, uninspired Anarkali salwar kameez dress design"
Modern Straight-Cut Chic,"Modern Straight-Cut Chic, designing {prompt} with a modern straight-cut silhouette, emphasizing contemporary details, sleek lines, and a fashion-forward approach in straight-cut salwar kameez fashion","modern straight-cut chic with poor representation of modern design, lack of emphasis on contemporary details, unimpressive capture of sleek lines, uninspired straight-cut salwar kameez dress design"
Floral Fantasy Salwar Suit,"Floral Fantasy Salwar Suit, designing {prompt} with enchanting floral patterns, emphasizing a whimsical look, intricate detailing, and a touch of nature-inspired beauty in floral salwar kameez fashion","floral fantasy salwar suit with poor representation of floral design, lack of emphasis on whimsical looks, unimpressive capture of intricate detailing, uninspired floral salwar kameez dress design"
Chic Palazzo Suit,"Chic Palazzo Suit, designing {prompt} with a chic palazzo pants silhouette, emphasizing a stylish look, playful details, and a trendy charm in palazzo suit fashion","chic palazzo suit with poor representation of chic design, lack of emphasis on stylish looks, unimpressive capture of playful details, uninspired palazzo suit dress design"
Regal Velvet Salwar Kameez,"Regal Velvet Salwar Kameez, designing {prompt} with regal velvet fabric, emphasizing a luxurious look, rich textures, and the opulent allure of velvet salwar kameez dresses","regal velvet salwar kameez with poor representation of regal design, lack of emphasis on luxurious looks, unimpressive capture of rich textures, uninspired velvet salwar kameez dress design"
Bold Dhoti Style Elegance,"Bold Dhoti Style Elegance, designing {prompt} with a bold dhoti-style pants silhouette, emphasizing modern details, innovative draping, and a fashion-forward approach in dhoti style salwar kameez fashion","bold dhoti style elegance with poor representation of bold design, lack of emphasis on modern details, unimpressive capture of innovative draping, uninspired dhoti style salwar kameez dress design"
Casual Cotton Comfort,"Casual Cotton Comfort, designing {prompt} with comfortable cotton fabric, emphasizing a casual look, versatile details, and a laid-back approach in cotton salwar kameez fashion","casual cotton comfort with poor representation of casual design, lack of emphasis on comfortable fabric, unimpressive capture of versatile details, uninspired cotton salwar kameez dress design"
Bohemian Embroidery Vibes,"Bohemian Embroidery Vibes, designing {prompt} with boho-chic embroidery, emphasizing a relaxed look, earthy tones, and natural textures in bohemian salwar kameez fashion","bohemian embroidery vibes with poor representation of boho-chic design, lack of emphasis on relaxed looks, unimpressive capture of earthy tones, uninspired bohemian salwar kameez dress design"
Playful Patiala Suit,"Playful Patiala Suit, designing {prompt} with a playful Patiala pants silhouette, emphasizing a flirty look, dynamic details, and a youthful charm in Patiala suit fashion","playful Patiala suit with poor representation of playful design, lack of emphasis on flirty looks, unimpressive capture of dynamic details, uninspired Patiala suit dress design"
Traditional Embellished Charm,"Traditional Embellished Charm, designing {prompt} with traditional embellishments, emphasizing a classic look, intricate detailing, and a touch of opulence in traditional salwar kameez fashion","traditional embellished charm with poor representation of traditional design, lack of emphasis on classic looks, unimpressive capture of intricate detailing, uninspired traditional salwar kameez dress design"
Modern High-Low Kurta Set,"Modern High-Low Kurta Set, designing {prompt} with a modern high-low kurta silhouette, emphasizing contemporary details, playful asymmetry, and a fashion-forward approach in high-low kurta set fashion","modern high-low kurta set with poor representation of modern design, lack of emphasis on contemporary details, unimpressive capture of playful asymmetry, uninspired high-low kurta set dress design"
Chic Straight Pant Suit,"Chic Straight Pant Suit, designing {prompt} with a chic straight pant silhouette, emphasizing a stylish look, sleek lines, and a trendy charm in straight pant suit fashion","chic straight pant suit with poor representation of chic design, lack of emphasis on stylish looks, unimpressive capture of sleek lines, uninspired straight pant suit dress design"
Rustic Bandhani Ensemble,"Rustic Bandhani Ensemble, designing {prompt} with rustic bandhani prints, emphasizing a bohemian look, earthy tones, and natural textures in bandhani salwar kameez fashion","rustic bandhani ensemble with poor representation of rustic design, lack of emphasis on bohemian looks, unimpressive capture of earthy tones, uninspired bandhani salwar kameez dress design"
Bold Cape-Style Kurta,"Bold Cape-Style Kurta, designing {prompt} with a bold cape-style kurta, emphasizing a dramatic look, modern details, and a fashion-forward approach in cape-style kurta fashion","bold cape-style kurta with poor representation of bold design, lack of emphasis on dramatic looks, unimpressive capture of modern details, uninspired cape-style kurta dress design"
Charming Angrakha Detailing,"Charming Angrakha Detailing, designing {prompt} with charming Angrakha-style detailing, emphasizing a traditional look, intricate embroidery, and a touch of cultural charm in Angrakha salwar kameez fashion","charming Angrakha detailing with poor representation of charming design, lack of emphasis on traditional looks, unimpressive capture of intricate embroidery, uninspired Angrakha salwar kameez dress design"
Vibrant Phulkari Ensemble,"Vibrant Phulkari Ensemble, designing {prompt} with vibrant Phulkari embroidery, emphasizing a festive look, bold colors, and a touch of cultural richness in Phulkari salwar kameez fashion","vibrant Phulkari ensemble with poor representation of vibrant design, lack of emphasis on festive looks, unimpressive capture of bold colors, uninspired Phulkari salwar kameez dress design"
Enchanting Ball Gown Fairytale,"Enchanting Ball Gown Fairytale, designing {prompt} with an enchanting ball gown silhouette, emphasizing a fairytale-inspired look, intricate detailing, and a magical touch in ball gown dress fashion","enchanting ball gown fairytale with poor representation of enchanting design, lack of emphasis on fairytale looks, unimpressive capture of intricate detailing, uninspired ball gown dress design"
Elegant Princess Elegance,"Elegant Princess Elegance, designing {prompt} with an elegant princess ball gown silhouette, emphasizing a regal look, refined details, and a timeless sophistication in princess ball gown dress fashion","elegant princess elegance with poor representation of elegant design, lack of emphasis on regal looks, unimpressive capture of refined details, uninspired princess ball gown dress design"
Bold Modern Ball Gown,"Bold Modern Ball Gown, designing {prompt} with a bold and modern ball gown silhouette, emphasizing contemporary details, sleek lines, and a fashion-forward approach in modern ball gown dress fashion","bold modern ball gown with poor representation of bold design, lack of emphasis on contemporary looks, unimpressive capture of sleek lines, uninspired modern ball gown dress design"
Whimsical Lace Fantasy,"Whimsical Lace Fantasy, designing {prompt} with whimsical lace details in a ball gown silhouette, emphasizing a romantic look, ethereal textures, and a magical touch in lace ball gown dress fashion","whimsical lace fantasy with poor representation of whimsical design, lack of emphasis on romantic looks, unimpressive capture of ethereal textures, uninspired lace ball gown dress design"
Glamorous Ball Gown Affair,"Glamorous Ball Gown Affair, designing {prompt} with a glamorous ball gown silhouette, emphasizing a red-carpet-worthy look, bold details, and a touch of Hollywood glamour in ball gown dress fashion","glamorous ball gown affair with poor representation of glamorous design, lack of emphasis on red-carpet looks, unimpressive capture of bold details, uninspired ball gown dress design"
